Geography,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1
Maryland,7.052471408236402,5.1057953239529175,2.5155569824647555,1.2107202743541516,-6.374198754688281,-8.657062001543615,-10.112835628425373,-8.070388917489598,-3.7973319751611063,0.21425553744945577,1.7256573688848704,-0.7891012391434867,-3.140876187373374,-5.70226946510485,-5.443739296867122,-2.90646359736448,-1.6355533131516984,3.4413386413471616,4.863315790595101,4.770310551127833,4.229536225689257,2.315315037199408,1.4588899838465732,0.8151817512283404,2.012548955278971,0.6658017278661139,-0.00500665885630936,0.6194522001060571,-0.8612978764032632,-3.065210658300956,-3.1934069015240913,-3.2512481849103723,-1.335104010380761,2.7426486503200205,3.972153548560621,3.6894641076513373,6.1329333073042465,5.680951807712364,6.1733308129296685,5.411139531655861,3.821057930607176,1.7247762157441695,1.3952660282239084,2.0983032993491575,5.082849230252793,3.860438206860524,2.1015276276026533,1.1717562525908498,-2.3843327950023783,-0.7421316969299662,-0.07241064074365307,2.5858850737978814,6.523221249556834,6.250282869427484,5.674767438700732,1.9278049473226406,-14.715445073090818,-50.70284545919237,-27.424442425385283,-30.861466923257783,-15.38738630564643,72.62593968720296,24.389696590331983,28.05738179803019,18.72730927969157,2.622885173691058,-2.326199654393182,-2.2158839439390277,0.2
Massachusetts,-0.1875437945674095,-1.7115040240413348,-2.0278182976188073,-2.486962257539209,-2.7657905060808092,-1.8973225971958965,-3.069034936878766,-1.7756545083656614,-2.175551851183334,-1.0513283026117761,0.06814862891450849,-0.9469187479151758,-3.853083552217428,-3.7850840290811814,-2.922990444069707,-0.9059998044604662,3.653029892531377,6.30626590580401,7.592089439223183,5.816770628926003,5.165541276410368,3.5371538250616816,2.7747303926642033,1.338513338513312,3.3636071787330786,1.8945567144719762,0.38266719031652335,2.7122074894956967,1.6020278326036101,1.1545843496341304,1.1055044491036443,1.5596695531004507,-0.0325411695099333,1.1858762142878314,3.037158307287794,3.4997108891872366,4.746638783945093,6.559170239571845,6.035860793867834,5.914324672373313,4.86020209249544,1.9751253356796399,2.764407795557353,-0.028608722084151585,3.0731926358329846,3.7910517517211764,1.3096732003039846,2.5469049024342225,0.7118460948663375,1.840145479736743,1.8867759944173035,3.336530914798989,7.049113669985888,5.617958420135192,6.5785981524447035,2.963813124493662,-12.34634749509039,-55.98653914275593,-33.325568131612116,-36.83692872598519,-22.79918864097363,88.62996158770804,36.90798906037276,47.028443890792076,32.55266803611523,9.957914743415687,-0.08624103489243075,-2.8736342294317994,0.3
Michigan,-1.3155780509359498,-3.037401970641453,-4.283397080321202,-2.185449242485632,1.758492255714074,3.628200209458836,3.9646010293317593,2.3181413455366426,-4.885293117587056,-4.85300886549662,-4.244058519308545,-6.9658487224892625,-7.522947355139897,-8.178739693757345,-8.86852723604574,-6.614024211178913,-0.48548104691086474,0.5108176518422599,2.5943178673554113,3.3904029815979584,4.574588412718361,6.516859053978593,5.740744903234512,7.8032240258642975,8.553386284428212,7.263896615173968,5.5459898390834,5.613492444983167,3.100845410628036,0.8397662218498746,1.2285507129622184,0.2829721974868976,-2.2774084595035364,0.1414329232108175,1.8731845131510834,1.116855440230474,4.079594038438476,2.8671321764723245,2.5564658665911564,3.121341035048018,1.4002994471744574,2.0872938149278935,1.3120685551059288,0.9745758702584136,3.948850460478379,2.5759912722895177,2.6061295264231155,0.8630302575971824,0.9779372262640704,0.8325157930446397,1.3656847658826323,3.6241847674613163,-1.310224803195754,-1.819504432825615,-2.3548121843006458,-6.790449977138044,-14.040057015459956,-52.22831422379463,-24.397331137042983,-30.105323907084134,-15.00457067539701,88.51321222930923,27.945946607586578,41.34946192166905,29.25889797653885,6.680584551148244,-0.7959589774988564,-0.8908317350286832,0.9
Minnesota,2.154381125367896,-0.5367810452800792,-3.4437248413887964,-2.811458521254468,-0.9460782915442638,0.3056240630591408,0.5164805123798963,1.0443736688876266,-2.8595837812931792,-3.7903404653315538,-2.5603916350179294,-5.777021474083179,-7.358913801792543,-7.432351172579671,-7.859086695176276,-4.079957312317865,-0.6431999999999988,4.313368845004544,4.815379788603626,4.040609354272769,4.7333784233523275,3.369037240004986,2.914825977457588,0.9891725705119703,2.6251588831030386,-0.7018495090065812,-0.4623500621815781,3.590082981214672,3.4819261464087017,3.8727943778755276,4.492831017562242,1.0949371443174456,-2.05399457544667,-0.8848868337794915,-0.5332381925828721,-0.8847406543191985,2.873614190687374,4.341164453524006,3.6062935639293023,7.258816028250524,3.626749432422334,2.1687563537783734,2.3046045306111114,1.6425076592436922,4.422381837174277,3.1831582826607816,1.741420940952644,-0.7800901557481061,-2.7310310638184965,-1.8206169918300028,-1.340345199568493,1.4917387598164449,-0.7135316174596846,2.139946887846051,2.815515403329418,-1.527890706671787,-3.0891357753089195,-47.82252535415684,-21.67601627097016,-28.49948733769474,-17.109021774086752,86.99658703071673,28.38877574111791,43.35025380710659,25.498094346942967,1.9583865668917708,-1.2496695161716511,-2.0325779036827063,2.9
Mississippi,-12.901883523837018,-8.847091605712293,-4.635590579226203,2.41501785013194,7.3192609564666355,4.452617500955277,1.7497829111382885,-1.8543613151701037,0.11174503961042644,-2.0385765632288018,-2.4896075174584515,-6.182326865780102,-9.087526657289347,-8.028979012622294,-8.584603801995113,-6.563583199395825,-0.3244128128088231,2.628106220561967,4.528608783380356,4.26307990425167,2.073986540618497,1.396623178801393,0.806602519278673,0.17293300336920756,0.8192137510178849,-2.902070956854257,-3.8981593653522966,-1.4455655762915247,-1.511259025709885,-1.026743555225134,1.0908240652257903,-1.200998651015756,-2.1924927625013777,0.2649315847172044,-1.004636008004902,-0.9160289787143042,-0.9344378220022105,-1.1753748342225372,0.7242990654205608,1.1291417288825758,0.1335848671799425,-0.3083510899852671,-2.6393553397275045,0.33353670937564134,0.9104240498594621,2.899861275240214,2.2758349216872555,-0.49661491060932306,-1.4512059743667474,-1.8874142424878004,-0.3585427364710768,2.8733524822261547,3.0762298775242867,1.4677292945331641,2.2128706329602625,-0.7653541124169421,-3.10264663805438,-35.149314367683495,-2.3121444767094856,-5.120427833097211,3.8817630955676696,67.76438924035949,6.222068389815852,12.1616505773235,10.26757074191413,4.676464622250081,7.843362755527447,4.050291114673863,0.5
Missouri,0.8988305935988468,0.233509012134954,-2.4801414605990173,-0.7203532537514535,-1.970832414958498,0.7550312023427509,-1.0325065764750005,-0.4174440738018516,-3.0859455509546416,-2.62512768130745,-0.8581653866965469,-2.516110107022199,-3.3640089706905862,-5.638785844387432,-6.31768434558633,-5.541642399534062,0.13304257362356486,1.6867104598281901,4.177270822473655,3.3202823935629,0.19280526668064948,-0.9858972957393858,-2.0132252810862816,-1.1408167730898633,0.11067461662711245,-0.17665893783814285,-0.8470673048040384,1.730469339503998,2.091529306309437,0.7460960674100902,1.5238114472674504,-1.1106166246353002,-3.3549582947173286,0.9850987593943795,1.219451545202257,1.9761580926474003,7.531342741202839,6.652500494168808,6.67236618417302,6.084261729169932,1.1508819360350053,-0.7700790466217491,-1.889399648098167,0.13127241800096984,3.096897534175387,2.361785580874099,3.5783365570599632,1.5178093321269646,-0.2889549014312721,1.1440666368637658,1.9208978089617705,5.18197857363721,5.384177883703922,5.43373352696572,5.915575636829372,1.8356159645846155,-6.479744373913129,-39.010326212495826,-16.240773242192432,-20.073187919748005,-3.3067995493226117,63.55258174472919,19.406875670473138,27.488660144257835,12.829791869949508,3.6974141258201554,1.3929471032745366,-1.450664089189587,0.7
Montana,3.8852554555462038,5.955026800888996,5.500291936076791,2.066726025244845,1.4959795549460744,0.7948259197565225,-1.5034896948951118,-1.0960816108704947,-4.54564064771028,-4.884368592326613,-3.3390214970969394,-6.722008923939009,-4.990510095756891,-5.643561170754708,-4.893591827507891,-2.4106705824767376,-0.8351861675112585,1.2889732543732881,2.4278163235277366,2.7244229125106934,5.463050430784284,7.09227816992291,4.469810820367759,5.926871220107643,6.5279561421495345,4.588655677924367,5.611322071905326,6.471044250754267,6.541251316962466,3.4014627792806276,3.862948941369691,3.0639654442946584,0.46116250986506785,2.769245676081592,5.639181123014788,4.701805302299843,6.090635470498033,5.969093840453298,2.9210139569698033,1.0932599022539904,-1.0339997680414563,-2.8328914354858754,-3.1582868444625865,1.5495485744694237,-0.6535653114576782,1.6262247046973843,0.5797234178954114,-2.9487782998338856,-0.8121228619391199,0.6144919178995478,1.600757582655731,4.632603940733402,6.09093404080139,2.9954866210552846,5.275091637465158,2.7437877740945114,-0.12244757174393192,-32.655438950379526,0.0340521167647156,-4.093880886709572,8.614646107091684,74.95707184816993,15.559924089628685,23.720253153321092,21.03828177164477,14.73659353715139,13.691629047580506,7.264926604583088,0.9
Nebraska,0.06552322220080076,-1.3126700349786182,-1.0788112424522613,-0.9146763073154287,-2.625953316385502,-0.6744183756854977,-1.0030917893606757,0.1983810511204968,-1.2292204388801313,-1.2073272273105802,0.4840329383410275,-1.9938116226084588,-3.6884999699633663,-5.367928882467431,-5.692470668185712,-4.249444201934885,1.259953843275067,6.384918783663424,7.50800076298666,6.979357725214948,5.175245878077318,2.800534194422855,0.0,-1.2665503845238983,-1.2103819535955291,-3.993291193236916,-1.7969265951050264,0.5119145604560947,-0.03260644026597786,1.077462157549821,1.2235516119966263,2.7852121115283266,3.631367742700688,4.552629475703322,5.512310728132728,2.6805926645615705,3.2704486494735128,4.500587656350038,3.4161607428152454,3.8123083910525613,1.875744617970591,1.1704141254354845,-0.27262565770938657,1.469288051552717,0.8630380389454989,-1.10716448397097,-0.04282811346716924,-0.9845048282057158,-0.25346036311343617,2.043539454203145,2.030193082575165,3.8420016511081516,3.6583827425255495,2.628656384903353,4.19224274264882,1.7944506569751082,-9.312574975225578,-33.35747759383537,-11.237169097784975,-18.66664378036011,-1.3793433980349912,44.91324559680485,7.209034963143294,15.67195677865947,7.65118675038393,1.2497402022356188,0.7127988393364076,0.6476920270023618,1.5
Nevada,2.4208695050070457,1.0469710824573568,-0.03423713810927298,-0.3298938386744588,-1.5025267463281946,-5.748491062607397,-3.820836674685906,-5.651643729935546,-4.826006383197768,-5.14952653600529,-7.784571557609128,-10.79693324892734,-13.185673977517562,-11.82124648260107,-11.281375088297628,-4.875019712979023,0.3852384116962965,3.906266456029485,9.593723791628184,6.068801160501501,4.948538919058704,7.0677789152535535,1.1779065036712648,-0.4728086199654248,-0.25527553001705194,-4.78074825810361,-5.360459550023924,-2.4685178096443834,3.7865612648221236,3.061183909645869,4.439004157772798,4.70473391836406,0.6417091933886937,2.1560664087747488,4.226116099536033,3.4793306613611525,4.2211416570488005,5.071957392158356,2.633780041263172,2.977810389827521,-4.585723622104434,-5.7609174328417225,-2.954652468397988,-4.847161965923733,1.6248715704554906,0.49305244285073685,-1.033842478982589,-2.195364709227935,-2.881374971916414,-2.254825668571002,-4.4237024466129045,0.3828298394053002,0.7267750081930997,1.639837666750805,4.65212630582106,2.3693204858362265,-5.545454545454552,-56.173163812125665,-34.87731998604945,-35.732070773757876,-30.74008408895193,83.17604237048019,33.024548402037986,44.55401954741566,42.06807776136216,16.19647085420558,5.143410515320339,-2.03244604170473,2.7
New Hampshire,-2.1123671019593044,-4.750373442443487,-5.326795564718327,-5.652693715908239,-1.3836442003280078,0.765626674199571,-1.034861593392585,-1.596839979408395,-7.091677383795715,-7.99926532427235,-7.006571448394813,-6.93165927222608,-1.8452796020107634,-1.9732694489976024,0.4561829848010063,1.4431028332378522,-1.1822712331672003,0.4673398074903,1.5893899204244186,2.524402199394736,1.8273512527496052,4.430811906540062,4.627772903872654,3.692848159812097,4.439503466880225,1.7878487582113254,-0.48213697481507856,1.7972054607782022,10.188576444592432,9.214818383467342,8.768656716417912,7.739343632765193,-3.10963382138834,-1.8637307699377001,-0.13187259078922148,0.22482384229431437,5.687391908366646,7.062723577997127,6.307770441848663,6.8590708065472015,3.0098988652520204,1.6006577566300306,2.1463440056980967,0.944644030481197,6.651214875387383,4.8916131476093,3.9014600712603418,3.952017853821829,4.442490985601392,6.520026263952702,5.054630273765177,4.402735648822065,2.930243069897199,-0.137150958515659,-0.2859123877189993,-2.663904099452415,-2.1093755915110184,-52.87023748900515,-7.247995999812497,-3.442619015228512,-1.5832501875613907,120.3329895388243,11.282293184632348,25.463074232767823,24.360284178428866,20.774820560830964,21.010362498202277,4.144400039634054,1.0
New Jersey,3.4759106490375595,1.4740780032943486,3.4847221311245065,2.703868294237858,-0.43957444097597476,-0.19442228152711039,-2.4211803480560077,-0.08580870136744002,0.23309810230720104,-0.14701963631017984,-0.7581100141043764,-5.7468113876402525,-15.239259103884143,-16.276030882772464,-16.458939140353976,-14.231015296330051,-5.721909598562511,-0.5660460310830631,4.044858306845149,5.837411421661155,11.442201248530628,11.70592591773796,7.427766184032188,7.435448390748134,3.319030404817252,0.26123870686840545,-0.7019335716503069,-1.974972417974541,1.5264149073248225,-0.7185085026795947,1.2453865236068897,2.463953276145302,-2.2181001659670234,-2.626425297982976,0.09661258353999311,-3.804971697739799,-1.714291419557095,-0.1980582127798553,-3.037871400425888,1.0482784161634604,0.548551924503004,-1.0116922573319589,-0.24424034070500333,-0.5253191619327018,0.4970650933007254,1.9872271825396863,0.4701307519005992,-0.1371405178589618,-1.5883707136609846,4.743087008947128,1.6280307994757484,3.559276871361812,4.008458214581219,0.17703053051117035,6.359441433090864,0.5551762016447419,-11.627724250370774,-54.75930664864082,-27.493700623306758,-25.732703474067517,-7.52295005445774,112.93090567568146,38.19079720937527,40.65171010959015,24.908363278010793,7.965435663017758,1.50036871064723,-2.146221970981731,2.2
