Geography,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3
Florida,10.80256736685762,8.729268801502032,6.19848293299621,10.189887668559685,5.316322378342132,11.93653991437924,12.86382629191814,7.529970029970039,3.193326969407707,-2.8475012052064876,-6.017361220981125,-11.937162825561373,-13.00574851882034,-12.526602489882789,-10.356437421440113,-2.251420624835167,1.3646260570155386,-1.3942289510507002,-0.9802694175972707,-2.8416895604395562,-4.781826810200557,-1.0981705680060427,-2.246722213090914,-2.565041214860068,0.4315037051609875,-0.9306894857940636,-0.7889699415386313,0.9030018008213785,5.26157703659205,8.700190496072658,10.666701431439517,10.464280211596725,4.238055655496729,3.186892329852359,4.419941570068801,5.002673361694209,10.592842095240327,11.930436805676726,10.32490974729242,8.051982554406777,6.6240489028078215,1.0216065100134055,1.6627126963350916,0.026636069335762617,-0.43099097644183737,2.1676062713468642,-0.1528898187451062,5.261271226366771,3.9818747655782722,4.521150728519501,5.616223077388028,3.299440525419611,2.736534243236666,1.2071174651496488,1.482244541734615,2.5045683175404534,4.193315746522168,-3.9846174348430274,3.914657643686257,3.016770043648062,4.675731550714491,14.104572312328996,5.179088277858195,10.513076676062356,6.347065732805474,7.2340240670750235,8.405999002459456,-0.34707088317431123,0.038452098502834264,-0.5063968044336115,0.061081539889428924,5.813840471716438,4.352412964007953,5.437473533339851,2.9935467503844713
Georgia,1.163260962111543,-2.9620714262890497,-3.1925443320075497,0.4969913320436475,-3.157185990973438,4.566109806159842,7.1618183220064395,5.135704258306033,0.34980228566461147,-2.4447336930279238,-7.5085569797202165,-15.64279717167221,-13.84263970381275,-11.072016527324966,-6.378911806543381,3.5734414159461685,6.921984746252517,0.43195760281680295,-0.40715065761361163,1.4877334352170273,1.914308545642565,5.48527781793647,8.533867295979816,-1.2480321248488542,3.3842605938310792,1.3785305572370095,-4.86047814102635,-2.0770759207060507,-0.008922596475578835,0.982380244243141,2.6432735037802093,5.931623528301436,-1.3240083879891007,2.028202954170206,4.962608940118085,4.561551996792652,3.929237551574057,2.2470312944212583,-0.025713000064295305,0.23964213441260673,4.875953056851674,3.098097509330641,4.090490172964416,3.0855867821282583,1.7454160789844848,4.294338526647725,3.401591664864989,4.012616085509027,2.4116525834038476,-2.4874186939311347,-2.0869218897794797,-1.243657840494701,-1.6591522100464913,2.7579172828802987,3.883505018354896,3.2561686584986655,6.110964921158646,-8.329611212021945,1.8686740147614274,3.928009173776983,1.3324558391514822,14.088807561960648,1.5047997924414154,4.175082286056257,5.016895548799432,3.7306987823743203,3.6125074550566696,-0.5924117441140339,-2.847514138978759,1.2644098810612943,3.8584180759988445,3.1205699374260623,5.015960293005152,5.548327641350898,3.6737279189246377
Hawaii,-1.436121453549561,-2.0434475047349556,-0.2786684544977643,1.1692036179131,-5.40565366156107,-1.2672529264457626,2.6179173584640996,6.1606261620033465,17.574587915422534,21.861101607937044,16.69116390360621,4.223692460703553,-3.4346771279616,-0.5024298631144821,-2.0797937781943676,6.091754919146558,1.6356988603562177,-13.56697379814942,-14.857803837102635,-18.80976124831348,-14.614802036437062,-10.286486182247994,-10.858006183828353,-8.162036535288966,-0.70342720575555,-0.7415586533997575,1.7697371014149874,-1.0502851897987246,3.141322283289706,3.665967183273087,10.941130906274228,17.906551468249774,10.369880315150052,22.188620344852815,20.38052016058646,16.236780291536014,9.480578926718698,-2.176603261411946,-4.64093418012739,-5.442643873762372,5.0161763973918525,4.724497811693414,4.785702700510913,3.290556776931324,-6.555823079985584,-1.6892023535829759,-3.4449399723321186,-0.3148109649253208,4.494917730122351,2.6328306149547083,-2.6140189163193543,-4.399424003177899,-13.923055267015506,-16.23268163166787,-7.479500817909647,-6.081130213473219,7.035311897323691,-9.517991747539247,-6.890991782406112,-5.182997644091999,,,,,,,,,3.7309227799690676,2.927689594356278,2.311087154263377,0.8811538292928854,11.502143938605919,13.229380854466513,10.877320074198455
Idaho,1.0762394111928801,-15.857318762505777,-16.852092975286517,-15.56475489999063,-13.89709418149344,-2.1585036813463265,6.960013644045475,14.949623165410566,22.200414871549388,33.778920308483286,29.269706897051563,18.98215247008157,13.120405311883848,-3.680152796217351,1.6730583776267647,4.297033608278524,4.005494568918735,9.507169975576117,6.568876144259404,11.739319043858368,7.614787849191458,7.552252978392189,-0.9252168153499072,-4.698527728281759,-4.723499927806754,-4.304530382202908,-10.26407053023022,-14.104264808799092,-6.565131735619522,-5.947476828012336,3.508486019602818,9.271104409368395,3.6620827878633526,0.3912309517291769,-0.44534412955465863,3.9428876672082516,0.6124410469612712,0.2897233426120444,-2.085310198364298,-11.220436612027704,-1.5240041765712096,2.8922623767984526,5.648492120261213,1.8173924578815848,7.030703634353776,6.721865606729569,11.281586476510803,25.88240867958497,14.090444423366757,13.334640145262478,8.894558657573224,8.671433948061724,-0.15518626971004754,0.11378842635157019,4.840090475718443,-0.6874696959201934,8.58089167260313,-5.00554656385821,-3.1622829637270007,0.7951038342836254,-8.471081421901088,2.565256094876191,-5.256477396792143,2.785994775719203,3.2730725549701143,8.24055322762778,12.917490326872072,2.017924012285942,4.385332347797852,1.8356138399592934,-3.4075352410663013,-5.544694926298948,-1.2737148433114562,-0.28108913573556704,2.302009963923711
Illinois,0.4067262217551132,3.470069034063299,0.7159701714504199,2.4475156716731887,1.5522781749479169,4.310101801096317,5.769311901447067,2.550229459051566,-4.890744176458457,-4.099976977668351,-5.43666859456333,-9.325537857779292,-3.9414792739094944,-6.757335059024905,-3.2131182115364196,4.384357196484568,5.89137841557796,5.711215340355741,4.901779196583234,3.045175211279515,6.218836565096958,7.790543760258386,5.204503437818078,6.545749420048872,11.315285314502916,6.7068138950015594,4.759460179874236,0.2649351149818266,-8.18901043450051,-8.72407221572653,-5.9322992253614135,-1.580606107192947,-1.7145941701835337,4.552010731973014,5.185385547841608,0.17377891026954775,1.8084139680257094,-5.949486763911394,-2.465831706271743,-4.99770970791467,-3.9713988661553152,-0.1641210803270241,-4.479229732632855,1.0679223217308431,-2.343087687043556,2.8840325082966056,3.103691511873983,4.952293950466906,13.125058832142727,6.581049772309668,5.399831441177917,4.567742434646379,-1.2971523668639025,0.029983321777237226,-0.3565347456750252,-4.855626052052321,-7.265097370664213,-15.55386949924125,-4.255017843318654,1.1324753091220243,9.437278411329173,23.75295331270172,9.26490164176896,7.883733671674491,6.543971055157659,-1.114128729821528,-0.908754546028827,-1.6553960744482836,-7.884158913318446,-3.4724991842210455,0.19671414520418454,0.614236145713493,3.428850874140683,5.402233010620424,2.833121250681698
Indiana,-2.260953652752503,-2.8188044541769517,0.9751346530703309,4.2071804736156935,9.527455183623456,18.31311726915331,18.57524694944802,17.71042027778401,10.328956565689152,3.476816160306355,-5.384479683242836,-13.85815779156825,-22.573004795508595,-22.78961847605808,-15.794489330847327,-2.1789805523488206,19.633168422775288,22.368604577442493,22.488067706539383,11.423546099290784,3.3546241831784687,-0.7989140571570708,-6.2316089703032045,-3.8455271305197964,-5.015220777634099,-2.9999477724969985,-2.1913289349669935,-3.046093882392804,4.418243207031458,5.516728944789636,9.525634567793078,8.631199475639052,3.4162415184208044,5.137468617965817,2.83640435508544,0.3821361410283454,-3.9257531391135987,-6.084255484371958,-8.762565867506666,-6.66993919115216,-1.071391672693479,-0.4465023978832572,4.670467259843346,5.621330356472,2.0479776090566473,4.52761627906978,1.546402247831594,3.5132113821138082,7.264056327650079,2.9509043414348284,3.867785497308181,1.9821907183600598,-1.964469717207952,-0.4360745571720678,-0.44592442449689046,-0.5410296892448803,-0.21994491645012393,-16.952519379844965,0.3849025139854527,2.711152409160428,8.380231548762758,30.274779767808177,9.22348850685725,12.115158083211613,6.576733051953323,6.989574750116432,5.435493854452195,0.4110245353909717,-2.733329392790508,-1.2473211893919158,1.0877496079237123,2.9499414029800746,9.671846514454387,9.12127223098181,7.349793419284191
Iowa,7.206452174670189,7.705100991312358,7.0319383259911765,7.355107653022262,-0.5827588657522573,-0.7984883579178443,2.2966507177033444,3.5221647336267514,1.950512137087309,4.666666666666657,0.5582546244606057,-6.099644547436225,-16.037783097773282,-17.355954093163867,-12.057376065298286,-3.3786468681376096,10.651141705041633,13.184874745465747,9.41900407197616,2.1353044946373823,-2.214555256064692,-4.116939490612433,-4.386739986902137,1.521637773916005,10.544015171562128,12.144781769191335,9.187966818512924,0.8871910487641758,-0.957520023140048,-5.281025660979353,-2.7481828139002342,2.626787229199866,3.083616149205927,10.343729781356206,12.126548581959653,11.539663497888045,8.373306239681138,0.9567685792731269,-3.363040341874102,-8.592422544376547,-11.87123643313021,-15.885058954762922,-13.070839357088177,-9.481198769985278,-2.7085911848040714,7.960149930952827,10.145872736363811,14.745270240748006,9.503232928560164,7.083904370336541,4.385584020842387,1.3498719620741486,-2.335964053228866,-4.157067963558112,-1.5599001663893384,-4.261494387826992,3.4633949725228734,-5.84976953055451,0.9152373086452873,3.736951573659821,5.142335905134748,13.605227769373014,1.0211364782687318,3.097307470421916,2.6939343551185533,0.4910573917546701,3.5015826362197613,0.2155725975121791,-5.210450821475404,-0.798785257442598,-0.39956675677397213,3.1350975312823284,0.8773069924616772,1.8516285239849137,1.5489353924883436
Kansas,11.820785488875318,12.527076754443193,15.39760278386391,28.01702942622737,18.919047110858134,17.90245146925807,13.44583803343868,2.5230215609174236,-3.759173580089343,-4.20174679361081,-7.278294085216965,-15.84027606605866,-21.712012267141873,-20.368583162217664,-17.184629922597495,-4.177649691303779,13.668245943728325,14.460875955699375,17.735070130003322,9.689093198684482,11.767376877401327,13.168951417596894,5.662575818623349,5.597538955393557,10.356573642926334,1.9190189911215607,-6.0052972761282675,-10.009499683343877,-24.487676870651974,-22.302629008945665,-11.224288408403133,1.674935782399098,1.8050676900383709,11.15650020739326,16.664814060049146,11.990540462594424,13.770705173070095,3.0621360321139717,1.3338979462206249,2.194089349910918,-0.1975047487480715,7.900771315405468,5.4137066443794435,2.134886955820533,5.0144366463724594,0.8653298625233836,-0.24875621890546407,1.6935268980627123,9.195757388528477,8.836130853369635,8.40130748825148,4.704831963355109,-0.7572614107883888,-3.381808077065587,-7.046294004967607,-6.523250317450024,-3.995742942121114,-15.806881477149622,-3.1049408887880983,1.5438311205417765,-0.06433605194393999,18.94193871625239,9.35382110511856,10.535103993750607,10.105281923796898,2.9869035766255503,1.1110904319666566,-3.547734520622958,-4.798956553026914,-0.277013460251346,0.8227801501987703,1.7960671533113965,0.6595171729579093,1.9193124405749478,0.8772250114103242
Kentucky,12.06990910388807,12.936158145360428,10.297398199197874,5.033598045204632,-3.5277131968109474,-4.05005283587397,-5.476494875610427,-3.734918100394422,0.74388714043621,-0.11340341082566713,-5.063192904656327,-12.917009941231399,-24.656471873293274,-23.447666040784245,-14.197797578036502,-0.48816791967304773,18.201719413717623,19.898752228163985,19.24736304865601,9.993788741142627,4.383554923220308,-2.083754564159887,-2.586256091854334,3.25907828471992,7.2568326557469645,15.869641794308043,11.637824981546824,6.73429984040357,10.523432878333072,5.6556105333780735,5.688258259518891,4.004809954514547,-2.2589406074062284,-1.07057457807058,-1.9323959326342555,-2.2309355049514985,-2.062692046364934,-1.3920648293015592,-2.330950404017893,-1.716265964666919,-5.175252394512048,-1.8846623270952054,1.138342871361024,2.2306621886018676,4.97504831999301,5.569780339390667,3.41144391824016,3.517587939698481,2.8554190548510907,-1.661429693637082,-0.8762712872464762,1.2892254760445325,6.449361839843051,8.4175420377841,8.416168323366454,5.133235724743791,1.083083939005269,-20.160621857098132,-4.5427712288080775,-4.696914835343373,-3.8817613609662036,18.66578995939461,0.7392089980577594,3.6590355577203963,4.667285972717941,4.862495017935427,3.449268133596791,0.4069319399281959,-3.0391076066443774,-2.9943172863883527,-1.4473806212331983,-0.2985801065154094,3.9784169195933865,5.183436702630883,4.487764491151482
Louisiana,-6.807049464966253,-15.68806747278282,-18.5350564129307,-19.320957904708102,-21.05203633376588,-17.047324971610127,-14.756481382694991,-10.466146208828556,-6.004629385286992,-1.8511824649105995,-3.4950484206573704,-12.158161934999006,-13.752637025034685,-13.14469745647165,-6.3564886114938846,11.80681659449647,29.740890236416707,26.22357749248936,19.32085728135169,0.4481993940718635,-14.108243727598557,-20.14151954828103,-22.18441918330926,-13.93090903437445,-4.334871764912073,3.719681374742665,1.8822015885445753,-7.614634983426804,-13.240567066521272,-15.95619833284435,-11.923650571431178,-3.714928145468785,2.580242941034512,11.467734483289698,14.80634973404255,11.653975022844984,1.9585547081773145,-7.123908477948477,-11.236290585296999,-12.961043212570928,-8.01157558743221,-5.792918774174346,-3.9239073921154723,-1.7447630987828555,1.957587349366111,5.828043247112816,6.491797712272649,7.992982083045355,8.990077087092008,4.108430738622226,5.424471901155843,6.8293259289891965,2.5159421380335196,3.7590177249056453,3.5906014895466885,-1.8737672583826528,-11.86546418708772,-19.98176610890606,-17.642765252775902,-14.545625322876067,-5.639990006662215,8.944539710671986,4.733786807878913,6.165158992734583,0.4092844692540102,-6.128054255622583,-5.902326024180487,-5.000621195179519,2.614896118307589,10.130314420112107,17.113501725514,18.06382004838816,14.747797038448757,11.744870432436839,4.705182227426734
