Geography,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1
North Carolina,0.7896361500009738,0.842807516185077,0.08558948528255107,-0.15346174277451133,-0.28354360347364943,-5.042962557006147,-2.1988499533100616,-2.5596563479083234,-5.033091586414608,2.9434498964227385,2.5950270357193053,4.611729019211313,11.619997496139874,0.9390799419332191,-0.4045846394984377,-0.2300383719469304,-3.5302364706981906,2.7305277565634656,1.302290812161277,0.5027949197368984,1.4310212860783011
North Dakota,1.5148791691631596,1.0114141085866828,0.5159887990287245,1.512408241985314,1.3496365228169325,-4.287887060291705,-2.7128120707961165,-3.443094908058125,-3.107862834735851,0.10390139553835016,-2.1636829668789224,-2.649305799560307,-1.6488525148506934,-0.05800227938781812,0.008187074655875395,1.416903848533616,-1.028712276305992,-1.2462454818510453,0.011256306089663928,-0.11388363532833874,1.3141780984038267
Ohio,0.7726993029566251,0.6624580309214264,-0.6889021242803136,2.0781488319820114,0.5635692048969582,-5.479493094460602,-2.5418307578514088,-3.3068900095353366,-1.9340646214489154,4.314844162704697,3.1229808313590524,2.651403474883859,1.63927770277815,3.6542629691899404,0.9985280661972468,0.7447682998088522,0.9257594822937277,-1.3298548005706352,0.4381991492043334,0.22610422421675047,0.9420053235174793
Oklahoma,1.4054399616425706,1.4047148349410528,0.8648988658030897,2.0984308411398414,4.80702929529738,-0.5006122948812246,1.1566269756202137,-1.229141620581851,-2.9540028947912567,2.4802095230593584,1.2493618332963958,2.7050449380215413,2.525785676238452,2.6786314768021664,1.8609076205879744,2.7305048589713414,2.523072272654291,2.299969121651336,2.8375021015074657,2.2795440911817524,2.435181602078605
Oregon,4.103569095552005,4.317201303084558,3.3952854533329435,4.202537490020294,1.9737592698231503,-5.307975091904884,-3.6436717143391277,-5.716791285885723,-0.4400686208696924,4.651784653171178,4.967889641256476,5.27037214721404,3.013560083907705,4.789484143883286,1.759655462417858,2.8710937500000018,8.163487936582973,7.71787230199583,8.884993687958074,9.689260173406739,2.385234741389446
Pennsylvania,0.5584118966887821,0.45798925679466157,-0.8789440753210077,0.2465512766764461,-1.3107340110461863,-6.432497680589757,-5.288365195783757,-3.9819175736092127,-4.28452663381795,0.32838271512797784,0.9256712438905726,0.7487296484496417,-0.14405558850944936,2.822499229551243,2.7903271454177645,-1.1775362318840614,1.8276900882552725,-0.693489876701445,-1.6917695767006988,0.7530622448129329,1.1094327829574384
Rhode Island,-0.5899289266515023,-1.400226419591246,0.5555443731003833,2.163312889654829,0.2531696844492998,-4.946217065506407,-4.750085073162912,-3.4015022971055466,-2.1515586173458137,5.627430412070734,3.2805144586415724,3.684605191523462,3.3602428046413797,0.5677714469143917,4.708515617051583,-0.9114505934335975,3.4287825974051818,4.0257745326869685,1.4360947550477017,4.991101601711699,2.5734868090695002
South Carolina,0.26160955025211796,-0.2989418251289335,1.5419862536109301,3.7269824695274862,5.222537689446934,-1.8844133795335694,0.4404638113363013,-2.265995547381677,-3.939117546459915,2.3557269056798487,0.25882192075165117,1.7510324951222689,1.5330445275255613,3.0538501843778176,0.8621361493200336,2.409063920496034,2.3895339775561055,0.9324635456638524,2.8579155277823256,1.1709690909782209,2.0721346411820223
South Dakota,2.305974480811409,1.5610616381941627,0.7690682848145065,1.6819468462289053,1.3577836969796233,-3.290716534681794,-1.7731746591331403,-0.7591304678295909,-1.8708789905602174,1.2194039127474967,1.8740542428122335,-0.7352589202799362,2.0834743263755224,4.108307260446211,-0.6170018281535516,3.3447461059941213,1.121339546160546,0.3660637381567684,2.9978155897907466,1.161890007745934,1.923725321245265
Tennessee,-2.993133458421475,-3.5620052770448556,-2.150794599115787,0.6867065312748948,3.8622591232239527,0.2756549376176536,1.0308543981764178,-0.48773159739608757,-2.491307664114262,2.6699900503636114,1.3476898903113448,1.9091613578495146,4.3246373278068795,4.069174975523025,5.438336695852654,5.190598459411417,5.907900246365399,5.351022876726788,4.451838515990985,4.548612415036227,3.08661272526664
Texas,-0.7078320770728358,-1.0539570485236671,-0.03969080860097523,2.6512046386084123,4.143540862290857,0.4940127260884795,1.6795878458193831,-1.429656609727127,-0.09944292651842979,1.6303047223994882,0.8532573146801384,1.6311972652004612,1.0263447822641396,2.6833982516213224,1.003823629059566,3.036990229913006,1.447348281931591,1.595673527107344,2.757278948074594,2.238911585164494,2.7817329724938387
Utah,1.4161067094574304,1.5689619263916803,2.714331033388852,4.321238894128155,4.463914875101356,0.033198910294592515,-0.30595502364636135,-1.3674253958587055,-0.03881252603278305,1.349966324050486,1.7329344679697534,2.3395818660697953,1.624129930394437,4.032553211981124,3.4182503354491183,3.4720389154945512,3.3939055074084385,2.9541646222353903,3.455256498734771,3.2361810876556896,2.884130074266346
Vermont,0.12070668276090483,0.6530269897852283,0.6600955794504001,0.6010337780983211,2.5776174724004517,-2.6159935716198905,-0.5608142191626246,-0.5347114350579384,-1.2879913745373972,1.8427968950553117,1.3786106469324417,0.9290126237599002,0.0059040590405939185,5.186296574143532,-1.4069582622005183,1.9341592358583062,3.678995582056664,0.2187143400532566,6.777923732186941,4.623962478957665,3.016038720698483
Virginia,-0.3026566528415989,0.15249016438438143,1.2494444668902271,1.9339915833664598,2.618721507860239,-0.2517332034065022,-2.619686555401495,-2.1482051640892847,-2.3457109845013724,0.27475602682433076,1.9669108231316943,1.537471395881006,1.401454493528222,1.1193537584103765,0.41995278042900286,1.639954523960426,0.9918020419453809,0.7697557254972875,1.1875581523316014,0.5384912346693292,1.5378332885130541
Washington,2.707019084883807,1.4275180651821302,1.0827020816700115,1.265626062377963,2.022430415176514,-3.3024125931741786,-2.2799514535051886,-2.8554711479435264,-1.6937043352353487,4.050721732157179,2.924564568116631,2.097177104829238,2.1366486109361382,1.4190614733962121,0.8398935049512627,4.392522460663619,1.046449850100582,1.3802078385926269,1.2517213542903205,-0.42799573857056733,1.7735923460429774
West Virginia,2.0921846907925747,2.6382705006181144,3.0731012094459498,3.071497981386692,5.441541064893152,-1.076163804077485,-1.0015075425136584,0.0223546220610863,-3.0314905528341547,4.1376716193342205,4.023278370514074,1.2389466524147337,2.8164270731097125,1.4011007290666595,-2.480232731612717,3.8940346499016276,1.3878880330921983,1.4754820626751841,3.758557387080745,0.8601097540695767,1.0153596219170047
Wisconsin,-2.3067892780277925,3.4307445142659536,0.3259634362726587,1.2202941727746994,1.3308365544451517,-5.576091230829719,-4.079686025137859,-2.5982885991072533,-4.1248727653645085,3.8053889721805687,5.488973368276044,1.1446868120872553,1.6646567096488256,0.7853324373389093,0.2778923388126066,0.7755925764710336,1.485319166193516,-0.4786736460800544,-2.1014286973296366,-1.1858483527702386,1.7223293405396853
Wyoming,-1.9461882498504142,-3.3727560292547274,-3.2130698414616754,-0.6774580951110049,-0.2709858921848531,-3.3122041743989827,-2.5090538234192437,-3.107592778231358,-1.3233494430731423,0.9553487669962528,0.42698092462720133,-1.155126071931392,-0.31740693250375,0.8512501735610601,0.7727383850086776,3.804775932580142,1.6121209565180863,2.4665339320511688,1.9850645515146197,1.7921184211894068,2.5079638487958276
