Geography,2005 Q1,2005 Q2,2005 Q3,2005 Q4,2006 Q1,2006 Q2,2006 Q3,2006 Q4,2007 Q1,2007 Q2,2007 Q3,2007 Q4,2008 Q1,2008 Q2,2008 Q3,2008 Q4,2009 Q1,2009 Q2,2009 Q3,2009 Q4,2010 Q1,2010 Q2,2010 Q3,2010 Q4,2011 Q1,2011 Q2,2011 Q3,2011 Q4,2012 Q1,2012 Q2,2012 Q3,2012 Q4,2013 Q1,2013 Q2,2013 Q3,2013 Q4,2014 Q1,2014 Q2,2014 Q3,2014 Q4,2015 Q1,2015 Q2,2015 Q3,2015 Q4,2016 Q1,2016 Q2,2016 Q3,2016 Q4,2017 Q1,2017 Q2,2017 Q3,2017 Q4,2018 Q1,2018 Q2,2018 Q3,2018 Q4,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2,2024 Q3,2024 Q4,2025 Q1,2025 Q2
Florida,46215.85167678151,47005.23764325316,48478.59468005274,48994.63736931449,51208.350188332835,51108.451187917555,51483.53209745222,53987.13588086582,53930.75116897499,57209.031863584365,58106.2842354124,58052.351032734216,55652.93639085802,55580.00399178183,54609.819220877616,51122.547365890256,48414.85544052397,48617.717827870336,48954.187467305856,49971.56379055349,49075.53717333177,47939.875530574034,48474.30453893062,48551.52707912892,46728.82997952746,47413.41392715853,47385.22157121312,47306.16039910532,46930.46661226749,46972.14226888246,47011.36641628477,47733.3358794087,49399.74926670406,51058.808126361495,52025.92851074991,52728.28590017267,51493.33813430281,52685.99736625454,54325.44415221082,55366.10981297857,56947.94613243768,58971.66698747604,59934.49723074233,59824.1793161733,60720.20593339502,59574.12537648353,60931.03572568248,59840.114126055494,60458.507324945174,60865.457854244225,60837.87837560197,62988.464832394704,62865.88937176246,63617.27694543811,64254.669340725784,65066.73176741441,64586.23596173601,64385.212206299126,65207.080669838324,66696.3725165201,67912.93396329513,62817.47206481272,68988.53363034308,69890.6890205964,71147.0874920769,71301.53257247353,71922.37728057585,76119.97392992706,75178.59439227144,76534.89186416722,78212.94992022264,76557.56832438419,76322.22343997027,76814.97679171189,79539.8292815667,82048.94896070873,79896.52387200652,81891.4394937963,83082.87297114173,82625.66650298345,82172.75017594731,84121.7
Georgia,69042.7069657615,68989.06586733133,68911.17605317241,68750.98756744938,69845.85382307928,66945.56046001137,66711.15620796713,69092.67401635402,67640.69031090122,70002.36826096463,71488.88801609166,72641.06941798942,67877.29899164809,68290.99677817132,66121.10412523503,61277.97426559972,58481.28905155451,60729.806328217244,61903.297207573574,63467.70677685951,62529.354959114964,60992.13334382789,61651.25752590844,64411.93707114435,63726.35974463247,64337.72130482312,66912.49402947222,63608.05540425904,65883.0258253531,65224.63645284009,63660.22688355416,62286.86780182781,65877.14734881281,65865.39039573222,65342.94079321353,65981.49030740303,65004.92839214658,67201.27418951418,68585.6554147536,68991.27029603394,67559.12644890464,68711.3078508024,68568.0199851327,69156.60244872971,70853.2777401723,70840.05116795663,71372.78810442083,71290.48943285672,72089.96224233678,73882.16277755915,73800.59891556256,74151.10307927763,73828.52167912896,72044.40404914951,72260.43806200534,73228.91707201888,72603.59413004504,74031.32911976911,75066.67580042852,75613.37411867594,76703.83151690061,67452.5790616118,76234.28820324456,78562.89972276882,77836.17306047489,77427.6189409244,77607.64728497092,81000.26305828852,80001.65685600595,78587.88324806507,78875.19378897197,80635.79751279025,77966.2343539289,80064.11566924659,83156.92913900915,83272.29424111242,80813.62142813417,83048.91213258123,82851.24835891381,82543.36315011588,81480.09370589006,84021.8
Hawaii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Idaho,7005.108942668566,7584.312090073768,7545.886620939563,7261.246310340365,7080.500685906562,6381.643546007506,6274.246791769122,6131.051119451275,6096.516837064838,6243.895535136535,6710.935224537338,7047.620157887925,7449.968867607093,8353.016032095251,8675.206294810405,8385.410161770415,8427.434978646304,8045.612279021613,8820.347560502136,8745.734054613693,8764.995429015142,8810.522313964024,9399.745267244727,9772.423678012165,9432.431235925975,9475.915247832278,9312.777243432121,9313.263641775591,8986.89035330659,9068.021596997542,8356.907218843018,7999.696275397955,8396.88916267633,8528.703113756956,8650.108140287304,8741.356469522454,8704.390195418662,8562.070040119062,8611.585391484407,9086.018335705967,8757.699453863077,8586.876355636081,8432.007123074933,8066.527407790864,8624.23174841465,8835.231349812346,8908.288381001683,8213.127868513007,9230.575923385531,9429.123727190372,9913.284638281351,10338.88318881843,10531.205093826842,10686.463445062767,10795.027555325481,11235.412615504076,10514.862109486217,10698.62340364954,11317.516655881973,11158.172558560891,11182.395196065743,9817.464164617575,10513.111075449722,10776.058019930117,10193.936482464089,10228.665324187914,10169.130166947069,11108.26808852077,10212.711458522066,10559.221638410769,11032.389946939305,11090.855027824513,10690.938309822699,10878.10439239032,11036.864811699237,10467.876029506924,10507.27429532807,11051.748601009449,10926.16054872525,11124.416513524007,10914.09786980717,11275.2
Illinois,114831.47337098217,111709.36068983944,113610.14440564917,114742.16670750918,115298.5230840097,115585.75262328763,114423.55915133537,117550.49921969287,117088.27689388007,120567.61622891467,121025.0111675127,120548.30668005566,111361.78881037708,115624.37172100565,114445.28239380177,109306.52870369518,106972.48698536119,107811.24551392485,110768.02018296222,114098.9173611431,113274.64099422371,113968.57790634473,116197.6239527578,117573.42930896295,120319.0057873548,122847.34984108267,122245.13328604201,125269.49137608595,133933.4445797673,131086.4929698656,128063.34172662534,125601.37424710035,122965.62082784418,119650.41265811124,120466.24109740481,123616.1112550324,120857.25946179996,125096.91228315847,126712.88015329766,123830.92998608899,123042.85902328024,117654.28804481009,123588.35377854755,117642.2195767732,118156.3363151446,117461.19255621989,118052.54749002737,118898.54709941316,115387.82974748267,120848.81153417414,121716.53438602634,124786.75265461046,130532.55028697247,128801.93197048284,128289.02207891514,130486.6901084323,128839.3442213972,128840.55106820088,127831.6271403171,124150.7443890665,120983.9783761873,110547.1672178872,124086.78150847099,126829.94429325547,130569.96253788684,133536.39198135372,130750.98955844012,130423.93407464049,131505.2688107456,126232.55512542953,125958.60090099221,130135.4976885589,121634.46880337551,124598.48455323502,130262.21660294621,132486.4352621445,129722.75608169734,130997.18630639263,132358.5095009535,126645.29673229107,127077.34788801166,130999.6
Indiana,90735.26557395625,89676.09904974666,89014.9033793081,89056.68509623947,88683.7832726272,87148.30517540025,89882.91854855682,92803.46056205785,97133.09097906853,103107.87650025092,106578.89263432244,109239.34345992586,107165.92575720783,106692.74781296036,100840.17381380216,94100.78287277612,82975.35619688213,82377.87764476388,84912.98331957328,92050.34511437036,99266.04762841371,100804.65935441051,104008.27250012141,102565.75872306671,102596.05046784194,99999.31676055881,97526.88366114645,98621.5646447477,97450.63202774676,96999.38948488822,95389.74884010815,95617.45919738399,101756.2379575219,102350.5828808703,104476.22772975249,103870.39283424798,105232.47680620983,107608.8119566801,107439.59600310816,104267.31914509575,101101.30954462306,101061.61691353827,98025.13063555273,97312.7523618733,100018.11853317793,100610.37437067974,102603.36226830492,102783.02365110972,102066.46720573712,105165.62605911968,104190.02296877277,106394.00853690122,109480.63287520438,108268.96308419536,108219.86956680103,108502.9406990109,107329.91899616338,107796.82968287116,107737.29073624399,107915.90757612548,106566.35811924303,88987.74526330274,107657.90547407443,110628.58554789309,115743.71224321306,116779.89882311042,117356.48651676299,120616.50498033121,117836.97626147345,118241.21437278422,117161.15699010895,116460.26868858562,112738.56225292603,116097.81229420622,120716.78110096644,121725.80956485843,122385.96069237369,122077.82053000502,121967.09898013696,123343.8065530248,125717.00807472519,129049.1
Iowa,36431.771863686525,36240.64345106194,36005.103457080586,36337.00072132703,39057.21007942804,39033.021628867675,38536.960126391816,39009.6262422601,38829.6007249747,38721.34749541761,39422.01949771564,40383.60954048459,39586.976799897864,40528.34371187043,39642.0947446174,37920.35290309049,33238.103325764416,33494.262982518536,34862.29830109704,36639.158087343494,36778.34081105974,37910.439603680505,38145.97959766184,37421.51567677984,35963.86413153503,36349.689744571806,36472.614657255675,37990.93559488962,39755.89942184408,40764.28023782818,39823.70638980841,38327.98777482924,39375.2287245005,38611.50813795494,38729.278134945605,39334.782462907744,40589.40963623597,42605.378204251356,43425.80286342206,43873.883996753575,43988.085205956646,43013.013075990115,41965.37559434246,40104.054497122896,38766.15560875077,36180.370590649196,36480.148764807265,36301.70937542746,37716.13893524471,39060.382335239236,40181.37823252081,41654.4945248452,41300.39146992039,41827.38246655541,41943.566335640484,42216.77686737979,40335.629171340246,40088.58975004332,41289.2885745812,40417.71129045496,42007.80451581722,38164.22006857622,42212.81154761579,42486.41861133149,44259.70960979035,43246.17387811306,42283.79077139131,42916.25927374862,44077.70143262295,42332.564204488466,43245.77734613667,43482.5069360472,41546.63782726452,42001.46000419482,43414.30343610648,44396.9096736246,42846.8661778787,43774.35447067728,43528.50464530955,43263.621285074645,42229.86242260098,43483.3
Kansas,22087.047778440618,22443.167671550797,22723.143508568344,22631.770641257182,24697.910317155485,25254.640511894348,26221.962886025056,28972.520481494492,29370.519605455625,29775.84027327182,29747.725544868383,29703.503419983816,28266.43079211238,28524.734859318945,27582.598596049655,24998.3864769672,22129.219871045767,22714.650517696475,22842.631104282947,23954.041461481258,25153.896068448707,25999.387952831188,26893.787750165484,26274.9708635357,28113.8498181729,29423.23472121207,28416.66887201824,27745.722593140417,31025.48137845369,29987.872183314397,26710.16343028054,24968.514578038554,23428.06175093365,23299.788302592973,23712.13765251003,25386.721163039656,23850.954124001993,25899.229232893947,27663.721301963727,28430.726236219954,27135.398697382505,26692.29886327419,28032.72711225882,29054.52177267118,27081.804996363455,28801.196355286054,29550.336722535932,29674.802968071977,28439.80495060023,29050.421708112342,29476.828422231116,30177.35373828339,31055.06041562814,31617.354983696845,31953.267415767063,31597.14752265688,30819.892427003564,30548.11671910369,29701.746249458603,29535.98649658001,29714.046443135107,25715.897774763213,28420.47607482287,29236.68178378511,28385.918387826983,29284.71111147431,30558.952604009184,32924.104130948195,33892.89081384991,33454.18390605463,34093.50111547859,34266.87527396645,34338.91926550025,33851.59730650736,34612.45214392534,34971.20779282334,33997.14959834598,35790.3421193276,35908.072544516996,35756.66301759432,34775.57614101611,35837.2
Kentucky,35121.1812558867,35363.116771367095,36151.1830618611,37621.18158251747,39360.275909683995,39937.74548203962,39873.81433546191,39514.880643237964,37971.75826211688,38320.24568856014,37690.12693666992,38039.03221374441,38254.22528882629,38276.78922291254,35781.80310385649,33125.52664114683,28822.08299014059,29301.77551478911,30701.57512939936,32963.81844686201,34068.197665194806,35132.46322292982,36610.818756210734,36258.152823455195,35561.59582119989,34400.38891702023,35663.969225850495,37439.83440856498,38142.24131965746,39859.60741400019,39814.47954582768,39961.14511738834,42156.11448322345,42113.91156946953,42079.229967077685,41561.51303498751,41203.83289465725,41663.050738375656,41266.09263871006,40634.30248429493,40353.92471074166,41083.07406223266,40304.20048562565,39936.90978077717,38265.507255869416,40308.79684256915,40763.000478712835,40827.76732655301,40169.23473173935,42553.90828415149,42153.607379436085,42263.919946079994,41316.2347144573,41846.90501611551,41784.227421431475,42808.79716919993,43980.86818979149,45369.38583735861,45300.85833383739,45006.2736388224,44769.35233091672,36670.98924710741,43805.37092467617,43455.212095708,43080.81793012866,43259.65800029379,43755.646699560166,44500.25652440658,45018.39130712798,45582.48965928434,45775.11880027997,45597.53228200851,44697.89987297692,44901.81098101567,46338.38145117388,46411.087461007366,46846.06996811461,48335.70746843865,47990.98069767642,47756.98434418934,46859.02333768264,48356.6
Louisiana,92620.02808826654,95519.33311853844,94582.69780572865,92748.47505930463,86315.3369618326,80534.19568934994,77051.74141056507,74828.58123583769,68144.20086301515,66805.26963691403,65681.61553427276,66996.91251770288,64052.394153625544,65568.58219975924,63386.0112678799,58851.31940235094,55243.500879832885,56949.79044310296,59356.886680356896,65799.78674762782,71673.40983925789,71884.06287176037,70825.1460425223,66094.70099313128,61561.550491254784,57405.52029634613,55112.998757258174,56887.10832123637,58892.936220967276,59540.822742883436,56150.33649536185,52555.3626699476,51095.17750318651,50040.37097702166,49455.1665769721,50602.96871016853,52413.55721392154,55778.867855119664,56777.67150191191,56500.22604446962,53440.105406458,51805.232359085116,50397.96734439173,49177.20733164566,49158.71096781617,48804.197327751026,48420.397778289196,48319.18156511117,50121.0356748336,51648.52705441864,51563.75205353349,52181.325090284656,54626.95541885002,53770.47101596799,54360.81329485908,55744.95785476561,56001.338008957646,55791.71255222348,56312.693466754,54700.42708628381,45465.08986864467,38889.63252726242,41022.87982226313,44534.10622256054,49466.9836983076,54688.6099649483,56014.18270606147,56780.754229216815,52818.422066633626,50457.05295106926,49174.638392224886,49553.813850729355,49385.29142472738,50155.4594630718,53775.60889480951,55308.23815323608,55482.92603384789,57311.49711354624,57599.21832867157,58128.41984934854,56292.14195138791,58045.7
