Geography,2019 Q1,2019 Q2,2019 Q3,2019 Q4,2020 Q1,2020 Q2,2020 Q3,2020 Q4,2021 Q1,2021 Q2,2021 Q3,2021 Q4,2022 Q1,2022 Q2,2022 Q3,2022 Q4,2023 Q1,2023 Q2,2023 Q3,2023 Q4,2024 Q1,2024 Q2
Oklahoma,1.995701565858148,1.6871694359358134,3.0319681299919634,1.534392563349601,-0.28839991454816594,-8.10216574328774,-4.183650146661095,-4.431143459107444,-2.3216633393387567,6.587337556255861,-0.2107125463418485,1.6935055565019543,-1.143557890748849,-1.869888953712594,0.6294883415173533,1.9766857503227133,6.058252818847452,8.59650537092646,7.876790292088555,6.334006512769458,3.982464982265295,2.03583590828531
Oregon,1.8385345997286213,1.867723078409577,2.342873041609509,3.305145477999139,2.4439220761917433,-5.4833630534582705,-0.2971698555398408,-0.6243409734169677,1.904408007803426,10.978755005168248,3.6763323178758243,5.5668798108694375,3.486941063858893,2.323962129364206,2.6427003790833115,0.7644154470111101,1.7186398872445403,2.0361091227232926,3.1304117335218233,2.31522395373051,0.7863446233253308,1.6187284017980081
Pennsylvania,0.4191812587329433,0.8893241532130448,1.2010356471317865,1.6742380196887978,-0.4647995736870169,-10.909233529763595,-3.834667652409067,-3.1702494717866267,-1.2204673666259942,11.083963416647402,2.778761240984442,3.863593141621714,2.7531315240083423,1.9498276067055196,2.100311011377519,0.48088505979744306,2.3365079365079175,2.371234207968884,2.588251171219805,2.8954788713482755,2.2822071835597235,2.5299031706853987
Rhode Island,1.7796796576616434,2.094067974667088,2.726706452066638,3.0532981004138113,0.26326646888935523,-9.653868015131028,-1.8425788279477435,-1.5907573514470454,-1.4265279329061675,12.666095388920818,2.8874895380813945,4.309607386212797,3.8604512473909343,3.0278815419571052,3.011756502876168,-0.08577946194597352,2.0498784619212516,-0.5167596460243303,2.3972473959312492,2.5020048115477165,3.1030796353951624,3.904752958857802
South Carolina,2.695343871814467,2.2898685949770528,3.5917465424835995,4.11704628666128,-0.2651305624964426,-6.995173121508099,-0.5211110799255374,-1.2548467994928891,2.5292610159118882,11.38718048262193,2.977522806357564,4.277212876622476,4.078492086438284,3.2514583409766216,3.551727917001541,3.376501990671251,3.1892395648511624,2.5432386096133333,3.4281430524319862,3.0871281275537608,4.041579463843757,4.925673100246013
South Dakota,-2.587116180951634,0.05275941705822902,2.375033693731469,4.676992973956428,2.876392328283691,-3.828512869494283,1.445205078696377,1.453812175917025,4.13986668225939,11.817589306959386,3.529818894912901,1.827663883998714,0.8543889200823651,-0.559749824210811,-0.6555246053853192,-1.4741832039782568,1.982871405639623,2.61818587817155,4.232013010075329,5.791564071359176,1.0162860522245643,1.2475859755378866
Tennessee,1.4779973234669133,1.646321086670184,2.2737479254124713,3.245410258672223,2.9759711420980133,-8.38643549899918,0.6529271947994778,2.1778756693122805,4.390978859644996,18.040192518787457,6.770482630425922,7.012246111534378,4.4354038499702355,3.6955899710290114,3.624913396457704,2.5014543339150817,1.8829626430576407,1.7703006838034272,2.0349210975202023,1.6653395903569501,1.8320545970921174,2.5359678703970445
Texas,2.8055821510430285,2.6542495721265476,4.081807209450411,4.224127338204307,1.971740889164829,-6.116632359378908,-1.8782300626381092,-1.2769121941487063,2.056311002047983,11.364538275328373,5.306111054242935,5.42909110951884,4.137326330823421,2.7295970637232503,3.6999726058870763,5.080684511362046,6.596993159959728,8.169795776785346,8.17724755006391,6.650967255118198,4.776717370769665,3.864962801436618
Utah,6.5859153844672536,4.8804100227790395,6.106540846285893,5.8375894244276285,1.7001210500641413,-2.085030135201166,1.334016991256837,3.109837564165671,6.753419790371311,12.169356180336045,6.88848952244691,6.668030620769623,4.360017639766,3.6007086062703584,3.246763846492875,2.1370117000191744,2.6287044640935098,3.4620431860659093,4.458498023715402,4.183033129372004,4.648850217526421,4.767541971588473
Vermont,0.7929821083411942,0.37589522415226606,2.379058715924673,2.696132156307914,1.145695038599592,-9.676561021759692,-2.6723895163091447,-1.8753880782365806,-0.7496353913466326,12.297469804589062,3.783411655541923,3.6998586104272286,3.9978839918102724,3.5424196494500553,1.9871369653620703,2.7249930874038277,0.9231348907309777,1.1719996246598676,1.6354655656731412,1.8322056079970916,2.022587268993846,2.2194603919531732
Virginia,1.8420949160539501,1.8800226815008845,2.8985648071672308,3.4184710217494874,1.5780939327838102,-5.230834188985601,-0.9896502228601715,-0.16922223580178677,2.557938446042905,10.515603799185886,5.021555012971165,5.348953281413345,3.2705474692633247,2.485729730720247,2.9051973881376307,1.9737371389750324,2.5811255753030213,3.3328565298240695,2.5804857384919715,3.300402359809611,3.343536820010489,3.0324266334440715
Washington,5.034407823252441,4.733068180744626,4.348149249293878,5.119362165670065,1.811252268602534,-4.483091438828792,2.077249091815657,0.8060888814414345,4.707832721309134,13.111595886335932,4.11967377556806,6.248414274590754,2.8345732818059735,1.0327697766645825,2.61963005160512,2.425829401447597,3.9914575193695603,5.255677122929954,5.5871668231356315,5.738449541358162,5.079996816047126,4.212071726910152
West Virginia,0.8492861857985953,-0.4012552585813451,-0.5952724405208268,-1.0910637146418967,-0.36244980900555157,-8.655403164445811,-2.607215068638936,-1.8964708641106842,-1.1530768325685428,6.8484958511762875,0.2125715193896912,0.9909667652653756,0.6090544776415563,0.6816319187638674,2.0577681739785723,4.140943965602251,4.356871019265257,7.21886912325285,3.848021600202008,3.368339314968603,3.9104350701497563,2.3720465150729613
Wisconsin,0.5150651665148891,1.643488010700858,1.3252222559097175,1.8959332475533337,-0.9274323178988603,-8.474527069524399,-1.9584564004555909,-1.5918418107200685,0.8623656548374107,9.740239144914192,2.144270623098655,2.622753210393807,2.6663676955173856,1.3978805394990452,2.001908415340583,0.2282910379190566,0.41117093505777874,0.8237451425639621,1.5912612919076161,2.843830334190216,2.6243120046906596,3.3264856103582763
Wyoming,0.7790629327435717,0.6717526998910205,2.6873262291351248,2.170161998008285,0.5644579325616113,-9.011101488071814,-7.7411522118266,-8.371774333635711,-3.6134866804285974,6.620732920867038,3.0151750932124632,4.840595279471709,3.8662369714647036,0.025361914520205836,0.9742893061356919,2.630019187687733,2.1542540134518156,8.05087324286497,8.888821952468462,6.222531102867039,2.3769932429185183,0.8363370128407354
