"","United States","Alabama","Alaska","Arizona","Arkansas","California","Colorado","Connecticut","Delaware","District of Columbia","Florida","Georgia","Hawaii","Idaho","Illinois","Indiana","Iowa","Kansas","Kentucky","Louisiana","Maine","Maryland","Massachusetts","Michigan","Minnesota","Mississippi","Missouri","Montana","Nebraska","Nevada","New Hampshire","New Jersey","New Mexico","New York","North Carolina","North Dakota","Ohio","Oklahoma","Oregon","Pennsylvania","Rhode Island","South Carolina","South Dakota","Tennessee","Texas","Utah","Vermont","Virginia","Washington","West Virginia","Wisconsin","Wyoming"
"2013-10-01","10592.7","168.1","32.2","203.3","105.6","1144.3999999999999","203.3","127.9","34.0","","502.90000000000003","346.2","","57.5","441.20000000000005","243.1","144.6","142.7","174.5","158.8","52.8","216.60000000000002","236.8","329.9","213.0","110.1","","41.7","90.6","71.4","51.5","322.2","84.7","651.3000000000001","349.70000000000005","38.8","395.20000000000005","155.8","130.6","354.9","28.700000000000003","163.5","36.599999999999994","204.70000000000002","1072.2","115.1","35.099999999999994","316.9","247.3","68.0","220.8","32.5"
"2013-11-01","10723.5","168.9","32.8","205.0","106.2","1171.5","206.6","129.4","34.5","","506.79999999999995","348.3","","57.8","446.7","247.1","146.2","144.2","176.1","160.7","52.7","219.9","240.2","332.29999999999995","216.6","109.9","","42.1","91.1","72.7","51.7","326.59999999999997","85.4","659.1","352.6","39.3","402.20000000000005","157.0","134.5","360.2","28.9","165.10000000000002","37.0","204.1","1080.4","116.0","35.4","320.9","252.10000000000002","69.1","223.3","32.6"
"2013-12-01","10606.8","170.10000000000002","32.5","200.79999999999998","105.5","1155.6","203.9","128.8","34.3","","499.6","346.8","","57.0","443.2","245.1","145.3","141.6","175.6","159.0","52.2","218.1","239.3","326.2","211.6","106.2","","41.4","90.10000000000001","73.4","51.900000000000006","324.0","84.7","657.4","350.20000000000005","39.0","392.7","155.5","133.2","355.1","29.0","163.6","36.2","203.39999999999998","1075.1","116.0","35.1","319.8","244.5","68.4","219.4","32.7"
"2014-01-01","10185.1","164.3","31.4","195.60000000000002","101.6","1145.5","192.89999999999998","124.2","32.9","","494.79999999999995","337.0","","54.4","422.1","224.7","140.2","134.0","171.0","152.4","49.9","197.3","227.4","314.8","205.39999999999998","105.9","","41.900000000000006","87.0","69.2","46.9","313.1","79.8","613.9000000000001","341.8","37.2","373.7","147.6","130.8","337.0","28.8","158.5","35.3","194.5","1053.9","114.8","33.5","309.4","248.4","65.4","207.3","31.299999999999997"
"2014-02-01","10609.4","166.5","32.900000000000006","204.0","105.0","1164.8","203.2","128.8","34.0","","504.6","342.1","","58.3","442.29999999999995","243.9","144.4","142.0","172.7","157.5","51.8","214.3","242.5","328.8","214.89999999999998","109.30000000000001","","45.5","90.3","72.19999999999999","51.0","326.1","84.7","649.5","347.0","39.0","394.5","154.7","134.9","353.4","28.8","162.8","36.599999999999994","202.8","1077.7","116.80000000000001","34.9","319.1","251.7","66.0","220.8","32.5"
"2014-03-01","10694.4","167.8","32.7","202.6","105.30000000000001","1185.3","204.8","130.1","34.7","","508.40000000000003","345.29999999999995","","58.8","445.4","245.5","144.5","142.9","174.10000000000002","156.5","52.2","218.8","242.60000000000002","328.20000000000005","214.79999999999998","109.80000000000001","","45.5","89.9","73.5","51.1","327.20000000000005","85.4","652.9","351.3","39.0","395.2","155.1","134.8","354.90000000000003","29.0","163.5","37.0","203.7","1081.5","116.8","34.7","320.6","252.89999999999998","68.5","221.1","33.0"
"2014-04-01","10700.4","167.2","33.0","203.10000000000002","105.1","1191.3","203.8","130.1","34.4","","504.7","346.1","","58.3","447.0","243.39999999999998","144.60000000000002","142.0","175.8","156.2","52.4","217.5","245.70000000000002","327.4","215.3","109.9","","45.0","90.2","72.9","51.8","333.0","85.0","657.1","353.8","39.0","399.5","154.7","134.4","356.0","28.8","163.60000000000002","36.8","204.20000000000002","1075.5","117.7","35.1","323.9","253.39999999999998","68.2","221.1","32.5"
"2014-05-01","10546.5","167.3","31.599999999999998","189.4","104.8","1195.5","204.9","127.7","34.4","","495.6","342.4","","57.6","443.5","235.9","143.6","139.0","175.0","155.5","51.6","212.2","243.0","309.3","212.3","108.6","","44.3","91.19999999999999","73.30000000000001","49.5","325.0","84.9","653.5","351.5","38.5","399.79999999999995","155.3","135.8","347.8","29.1","162.60000000000002","35.6","197.7","1078.2","116.2","33.9","317.79999999999995","253.60000000000002","68.0","216.0","32.8"
"2014-06-01","9946.0","162.8","28.9","152.3","96.0","1168.5","187.2","121.7","31.0","","402.1","328.20000000000005","","52.5","406.6","207.3","130.8","122.0","168.6","149.1","48.4","201.7","227.1","288.9","200.1","102.4","","39.5","83.1","65.5","44.7","318.7","72.0","633.5","313.4","33.6","353.3","139.9","133.2","323.09999999999997","27.7","154.6","32.3","165.8","1039.1000000000001","111.7","30.3","307.6","243.7","59.8","196.1","29.7"
"2014-07-01","8642.9","150.0","23.3","140.8","84.0","993.5","166.5","100.9","29.099999999999998","","399.59999999999997","308.4","","45.099999999999994","365.29999999999995","170.5","113.9","104.0","154.6","139.1","37.9","173.5","188.8","249.29999999999998","169.0","94.9","","34.4","75.0","60.800000000000004","34.0","264.6","68.9","532.5","233.8","27.3","330.9","128.0","101.6","272.5","22.9","138.6","27.099999999999998","163.6","966.5","94.4","21.5","279.5","220.7","53.3","171.0","26.3"
