House Prices Year/Year: Q1 1992 -- Q1 2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Source: Federal Housing Finance Agency,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
http://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index-Datasets.aspx#qpo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,US Average,Alabama,Alaska,Arizona,Arkansas,California,Colorado,Connecticut,Delaware,District of Columbia,Florida,Georgia,Hawaii,Idaho,Illinois,Indiana,Iowa,Kansas,Kentucky,Louisiana,Maine,Maryland,Massachusetts,Michigan,Minnesota,Mississippi,Missouri,Montana,Nebraska,Nevada,New Hampshire,New Jersey,New Mexico,New York,North Carolina,North Dakota,Ohio,Oklahoma,Oregon,Pennsylvania,Rhode Island,South Carolina,South Dakota,Tennessee,Texas,Utah,Vermont,Virginia,Washington,West Virginia,Wisconsin,Wyoming
1994.0,3.0,3.3762057877813576,4.57768602459385,4.3039865558771355,6.714740588125119,4.833348306531305,-3.438016528925625,11.793254064547451,0.37195055245597136,0.58574025449404,0.880099399461595,3.214662700316677,3.880995518260697,0.6252521177894359,6.944218572125553,4.215499227764151,4.5906726293693545,6.219469644103276,6.310456011054821,5.844038357155775,6.779367143476383,0.06165228113440432,-0.12746347681144765,0.9319664492078346,5.449666913397484,4.003690036900358,5.695266272189346,5.288148217112007,8.919972483375362,6.01238603130913,3.998860182370815,0.9180257047197259,0.907924602782988,10.694644216938839,-1.086848140392864,5.737320708727856,5.385230605171956,4.689468946894697,4.197666942224664,10.807281038282584,1.8194135294686882,-0.24779142426200151,3.0206973708745055,6.396788794944055,6.064814814814812,3.2677276579715593,16.26996554963984,1.524663677130046,2.3228462216995047,5.708396809749969,4.947618628400378,6.816644113667119,10.821052631578942
1994.0,4.0,2.9227166276346646,4.18254319893664,0.5608322026232515,6.634200128640999,6.854224531851989,-3.568252556691856,9.629977313619642,0.06565269723164709,1.7190519784355585,0.5338853780780071,2.8984130000950272,3.9632992811199372,-2.0625747309685067,6.586681697399152,4.4103027564392185,4.21573033707865,4.103304731968408,5.49569941149841,5.666965085049237,3.495852378533939,-0.8585445625511072,-0.5099539080121566,1.6493775933609844,5.7291666666666625,4.122582998905505,5.595107703541434,4.39570523997431,7.567049808429125,3.260235137163342,3.5973255485450677,1.4640973194100542,-0.34310361729243066,10.704505850136911,-1.7853580690205526,5.887261264602257,4.666841782681037,4.406538734896938,4.043419267299864,10.121168923734865,0.537582797350487,-1.0508070631567532,3.1264452872074697,6.626104350725123,5.370657426825932,2.390697674418598,13.776312832421894,-1.1934115790511823,2.7446766946669294,4.788782079548454,6.452464788732406,5.979296066252587,9.474028095393658
1995.0,1.0,2.6550315633122907,3.7754029432375638,3.403022897999824,6.843588112333002,3.1746031746031718,-2.948458248930908,7.5179992421371855,-0.7753631101889197,3.0125436973061817,-3.137131465743373,2.6514436686167224,3.9677328580808595,-0.06075949367088838,6.728095956787682,3.0147189217946497,5.097411262343211,4.028256664704403,5.618377704567716,4.0139921294272005,3.081279147235179,-1.1177725840869772,-0.6850655705617565,1.4842300556586248,6.546866534224309,2.7017323400053903,4.586661879544026,4.1858783111834335,7.646416878865056,4.413965087281797,2.7112349117920163,-1.7870360579464921,-0.6931563018646958,6.653901388224033,-1.053793657165794,5.606878258483486,5.9701492537313525,4.676100905335332,2.8872798784303115,10.255216817934992,-0.4781943381790359,-0.6475984889368683,3.8062918462808453,2.471358428805234,5.85120703580723,1.942730871927078,12.528061409225854,-1.7934568387859748,2.1772939346811913,4.378420641125885,6.243013156763256,4.7704040240142636,7.512402551382004
1995.0,2.0,2.338212280217257,2.8209109730848825,4.533116178067323,5.368888888888894,4.155911202891067,-2.937840290381129,5.779579800958351,-1.5352787456445955,-0.6190713929106385,-8.736155677466098,2.385424492862502,3.801223808640825,-4.979542959784448,4.058441558441558,3.0879901745767264,4.1784203102962,4.6436015006252545,4.788953945643615,4.249242752055384,3.9612097304404936,-0.3444084278768268,-1.9840497957595724,1.4804153387478132,7.333808590269118,3.0418927332562373,4.144207828929926,3.87091006615412,3.0929975089952935,5.81376116440622,3.9789512555391453,1.6602399314481546,-0.6557056175376802,6.835722160970226,-0.8735816849081278,4.5998739760554495,4.3843996941116465,3.7891268533772693,2.0463967539913495,8.286918560891156,0.2578796561604546,-1.5231148771854572,3.122737146994934,4.862288991196196,5.223550243470554,1.867789782091198,8.585683597810261,-0.0394244037058861,1.455983029601779,1.6065629806870703,3.7926027163235774,4.120747484427405,8.618672490445348
1995.0,3.0,2.643856920684293,3.767916917002833,4.582885785893309,5.923650724001755,5.261804781900763,-2.4649092776446384,5.744880978221545,-1.0463215258855518,-0.29116465863453017,-7.215436723801705,2.4451468947564106,4.103176060216632,-5.111244738424528,3.1173965936739614,3.3214192311045267,4.842931937172785,4.639894883797328,5.251299826689764,3.9487179487179525,4.116262076804423,1.5814335592524198,0.2748870999410967,1.9493177387914289,7.826621040624728,4.434983147064042,4.111266620013999,4.350517287116458,7.228070175438604,4.6977687626774784,3.2788382500685027,2.514982876712338,-0.16625916870415816,5.121149583428868,-0.3225806451612978,4.2645624612110895,1.4335104140315396,4.264465652136526,3.4203102961918157,7.918968692449356,-0.3136583974907312,-1.3608381034669026,3.909502262443433,3.3873816021833467,5.246617197730254,2.1703447018055897,8.45791245791246,-0.5300353356890382,1.388888888888878,1.2800949474398144,3.892290915191679,4.489311163895488,6.003039513677816
1995.0,4.0,2.7213980158368933,3.410734030790172,5.577044166591709,4.704868591124523,3.588797585108168,-1.9596541786743547,5.729984301412874,-0.7217058501913577,-0.5799999999999983,2.1892272678010296,1.9763575914296272,4.4672914202529315,-3.418455590599246,3.1427060512200624,3.0122046221760614,4.217698809729171,4.977966378325428,5.904565739787169,4.778446157756503,6.199394782039747,1.3195876288659805,0.6012814194184322,2.051229717318099,8.417595713421493,4.458654519971972,3.8551300890310385,4.7380450070323485,4.781149393794088,5.305232558139529,3.154258703754203,1.5384615384615414,0.17706079087153928,2.6010044224570863,-0.2640398090789125,4.167761141756418,3.1872176677262742,4.3992511912865915,2.6951834463571624,6.860841423948213,0.2959992361310057,0.6568863586599456,2.6639160462821767,2.8218557023372037,6.265143648321214,2.5165803579540387,7.9141427442718,-2.9147534438011595,0.5894096396995956,1.1614206362565307,4.06020011576945,4.219739001328441,6.997911071321991
1996.0,1.0,2.9752215590522755,3.6127289609183775,5.5579868708971505,5.010207553589656,4.54812946616225,-1.4030612244897889,5.73764714174948,0.3742020691173271,-0.31939315300927557,1.2673310225303314,1.9946686276312044,4.907975460122698,-8.460836964231426,1.8309020541827772,3.5031847133757896,3.538175046554928,5.38399353274051,4.653515427415273,4.035648225996298,6.681208595895953,4.511355461925805,0.9558533701221904,2.8336380255941562,8.475294516484448,5.182660374060473,3.501544799176106,4.243318292259633,4.0889429575560845,4.967757344160493,3.1820647260893113,3.8329026701119746,0.3145890680298932,2.8351286654697727,1.1461608682422106,4.633639355621002,1.3920733704552803,4.349651524057429,3.4665508253692523,6.472947301766001,1.191620219104358,-1.129820749592604,3.35748365435589,6.356812010860892,4.942772361169986,2.5018063583814993,8.295257095051172,5.348183825005016,1.5791476407914733,0.6158967956720723,2.3553217320922677,4.018894223323546,5.698381308137406
1996.0,2.0,3.1303409193127676,4.538971390217298,3.834501860988481,5.137506326978226,3.5852953325072314,-1.168633867009466,5.854066485469354,1.1390025434037232,0.25118054857831806,6.72564364296245,2.6875802605026666,4.8142193640585935,-2.016383112791432,2.0057945174949765,3.1571781125010587,4.823151125401919,4.612810707456984,4.987073638562259,4.117549393989713,5.106719367588939,2.28705021345802,1.5280809684461125,3.647046905075482,8.352013283520122,5.394907207596029,3.029017478364167,4.819691883983138,5.1278609302637665,4.697147323173119,1.8023617153511509,1.9281424507428073,1.2215545266476158,2.454666076957108,0.1418152350081043,4.7934595524956904,1.0337810337810422,4.937343358395987,4.174950298210734,7.374713282824762,0.7335429170239078,-0.7079838797516672,3.7742473448608767,2.4647616113378947,5.43542280185108,2.462699982024083,8.800255264837283,1.2620784855058185,1.8627637331305913,2.3465096719932648,3.5717224919759603,4.509894155545326,4.121786586241569
1996.0,3.0,2.869875222816398,3.465674110835399,2.8243752139678167,4.208782104391051,1.856224049499309,-0.8892008892008952,4.988026000684223,0.1431875757241937,1.147920652502266,1.8694690265486698,2.0147018785733724,4.452870117273607,-5.312632023658641,1.695915056776274,2.556530543368209,4.136496046608405,3.9240307644011816,4.470607607442786,4.472948528202596,4.35901434809732,3.6190861302062256,0.2447620912473076,3.9247257723658966,8.088534461713738,4.3315780533378705,4.293396067887749,4.06745191085501,3.606020942408371,5.184438933663979,1.6625397948355107,3.4867940286042267,0.44083072100313764,0.7053006616738158,0.22249190938511215,5.059523809523812,5.029512012636126,4.320936752700593,3.349812478690766,6.941979522184291,1.30625476735317,0.2846819226979143,3.483713638738896,6.141304347826083,5.5076310550763115,2.3830774723312986,7.65553209983856,0.0,1.823334907888528,2.5529421612120173,4.206701655228105,3.53110555429264,4.415770609318994
1996.0,4.0,2.844231791600207,4.005593025168617,4.916077362187949,3.942062381696973,2.128865144892339,0.188124632569073,5.2372275089424445,-0.06608657341117112,1.0661838664252687,3.563474387527839,1.9289983698605284,3.6317714683853004,-5.993890234909946,2.0068849337142085,2.8569027812788765,4.320119175701398,3.5525497512437982,3.168557536466772,3.6387159375757947,4.4050827878321135,3.3679283679283705,0.14697236919458306,4.599999999999994,7.612594659226782,4.536687631027251,3.7869330004161443,4.028535459504823,3.229391383931488,4.838585998006289,1.7448008459640376,2.706374085684434,0.9622937941869499,0.913208649912332,0.8858568373892727,4.429688156678151,2.5050668828536713,3.920449914418455,2.980020318320349,7.248132444982845,1.0281797410510265,-1.9360452469001537,6.500087366765693,3.953170138360968,4.275244299674279,1.8433179723502287,7.00427089688834,5.274521900061686,2.107551271146398,2.4043261231281203,0.43706293706293475,3.1416360500862246,1.3735880630316546
