Table 3. Changes in Housing Permits and House Prices,,,,,,,,,,,,,,
State,"Change in average monthly new housing permits, 12-month average, November 2013–November 2014 (%)","One-year change in house prices, Q2 2013–Q2 2014 (%)","Change in house prices from peak, Q1 2007–Q2 2014 (%)", ,,,,http://www.fhfa.gov/DataTools/Downloads/Pages/House-Price-Index-Datasets.aspx#qpo,,,,,,
Rhode Island,-5.736782902137227,2.179851105993258,-16.925756586109298,RI,39.0,4.0,,,OR,338.17,290.77,311.06,0.06978023867661731,-0.08016678002188249
South Carolina,6.534017971758654,3.578454830648181,-1.8491459666448273,SC,23.0,2.0,,,PA,200.22,193.5,196.85,0.017312661498708026,-0.016831485366097354
South Dakota,-14.063699155794318,2.5976707689766343,14.246953322602906,SD,37.0,4.0,,,RI,229.65,186.71,190.78,0.02179851105993258,-0.16925756586109297
Tennessee,4.870983555416908,5.1253481894150354,3.294351828813147,TN,13.0,2.0,,,SC,198.47,188.07,194.8,0.03578454830648181,-0.018491459666448273
Texas,2.3431636120474275,7.115839243498834,21.422446135705854,TX,6.0,1.0,,,SD,217.45,242.14,248.43,0.025976707689766343,0.14246953322602907
Utah,2.837758496966525,3.4599185492011575,-4.187350912255816,UT,26.0,3.0,,,TN,200.95,197.45,207.57,0.051253481894150354,0.03294351828813147
Vermont,-16.395575797007155,0.17285680915672952,-0.3902257734832326,VT,49.0,4.0,,,TX,186.58,211.5,226.55,0.07115839243498834,0.21422446135705853
Virginia,-10.266054729286722,0.9238911064268773,-9.814844501442776,VA,47.0,4.0,,,UT,310.22,287.29,297.23,0.034599185492011575,-0.04187350912255816
Washington,1.5158459926663204,4.951897047186704,-9.499012390016158,WA,15.0,2.0,,,VA,249.52,222.97,225.03,0.009238911064268773,-0.09814844501442777
West Virginia,-18.403074295473953,5.083625641807732,7.409716809560929,WV,14.0,2.0,,,VT,215.26,214.05,214.42,0.0017285680915672952,-0.003902257734832326
Wisconsin,-2.8139915936453708,2.8415090717097025,-5.89010409803663,WI,32.0,3.0,,,WA,278.45,240.11,252.0,0.04951897047186704,-0.0949901239001616
Wyoming,-21.84793070259865,3.6451602213606327,6.063277832412095,WY,22.0,2.0,,,WI,227.67,208.34,214.26,0.028415090717097025,-0.058901040980366304
United States,3.158744575638317,4.548607670201177,-6.226389938224964,US,,,,,WV,192.45,196.71,206.71,0.05083625641807732,0.07409716809560929
,,,,,,,,,WY,294.89,301.77,312.77,0.03645160221360633,0.06063277832412095
,,,,,,,,,US,225.01,201.82,211.0,0.04548607670201177,-0.06226389938224963
,34.0,12.0,34.0,,,7.440504866344493,,,,,,,,
,,,,,,4.344497894081718,,,,,,,,
,,,,,,3.0574098181376335,,,division,2007q1,Low,2014q1,Since 2013q1,Since 2007q4
,,,,,,1.2729008422737786,,2011q2,East North Central,192.75,157.66,176.04,0.11657998224026378,-0.08669260700389114
,,,,,,,,2011q2,East South Central,197.5,176.74,194.82,0.10229715966957098,-0.01356962025316455
,,,,,,,,2011q4,Mid Atlantic,219.8,195.65,205.13,0.048453871709685625,-0.06674249317561431
,,,,,,,,2011q2,Mountain,292.52,198.17,257.22,0.29797648483625183,-0.12067550936688076
,,,,,,,,2012q1,New England,225.1,193.28,204.68,0.0589817880794703,-0.09071523767214562
,,,,,,,,2011q3,Pacific,277.26,169.68,223.27,0.3158297972654409,-0.194726971074082
,,,,,,,,2011q2,South Atlantic,240.88,174.21,204.92,0.17628149933987713,-0.1492859515111259
,,,,,,,,2011q2,West North Central,214.36,189.4,212.77,0.123389651531151,-0.007417428624743483
,,,,,,,,2011q1,West South Central,194.18,190.65,220.51,0.15662208234985564,0.13559583891234928
,,,,,,,,2011q2,USA,225.12,178.88,207.33,0.1590451699463329,-0.07902452025586348
